,nombre completo,rut,edad,email,numero de telefono,especialidad
0,Adriana Carolina Hernandez Monterroza,14541798-8,63,ADRIANA.HERNANDEZ@gmail.com,nan,MedicinaGeneral
1,Marcela Adriana Rey Sanchez,20784145-5,33,MARCELA.REY@gmail.com,nan,Pediatria
2,Andrea Catalina Acero Caro,14077811-7,46,ANDREA.ACERO@gmail.com,nan,MedicinaGeneral
4,Brigite Polanco Ruiz,14860117-8,60,BRIGITE.POLANCO@gmail.com,nan,Odontologia
5,Cristina Elizabeth Barthel Guardiola,7590500-9,63,CRISTINA.BARTHEL@gmail.com,nan,Kinesiologia
6,Gloria Patricia Mendoza Alvear,17851414-8,58,GLORIA.MENDOZA@gmail.com,nan,Kinesiologia
7,Laura Diaz Mejia,7889811-9,33,LAURA.DIAZ@gmail.com,nan,Pediatria
8,Mariana Del Santos Milachay,11599665-7,25,MARIANA.SANTOS@gmail.com,nan,MedicinaGeneral
9,Paola Andrea Correa Larios,19566898-1,32,PAOLA.CORREA@gmail.com,nan,MedicinaGeneral
10,Yuri Catalina Salazar Aristizabal,9014730-7,25,YURI.SALAZAR@gmail.com,nan,MedicinaGeneral
